run_id,model_scale_id,condition_id,stage,p_code,budget_R,z_R,budget_V,z_V,budget_M,z_M,budget_W,z_W,budget_E,z_E
SMALL-C050,SMALL,C050,B_ALL_OFF_REPLICATE,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SMALL-C051,SMALL,C051,B_ALL_OFF_REPLICATE,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SMALL-C052,SMALL,C052,B_ALL_HIGH_REPLICATE,-1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
SMALL-C053,SMALL,C053,B_ALL_HIGH_REPLICATE,-1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
SMALL-C054,SMALL,C054,B_ALL_HIGH_REPLICATE,-1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
SMALL-C055,SMALL,C055,B_ALL_HIGH_REPLICATE,-1,24,2.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C000,REFERENCE,C000,A_FULL_FACTORIAL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C001,REFERENCE,C001,A_FULL_FACTORIAL,0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.0
REFERENCE-C002,REFERENCE,C002,A_FULL_FACTORIAL,0,0,0.0,0,0.0,0,0.0,12,2.0,0,0.0
REFERENCE-C003,REFERENCE,C003,A_FULL_FACTORIAL,0,0,0.0,0,0.0,0,0.0,12,2.0,6,2.0
REFERENCE-C004,REFERENCE,C004,A_FULL_FACTORIAL,0,0,0.0,0,0.0,98304,2.0,0,0.0,0,0.0
REFERENCE-C005,REFERENCE,C005,A_FULL_FACTORIAL,0,0,0.0,0,0.0,98304,2.0,0,0.0,6,2.0
REFERENCE-C006,REFERENCE,C006,A_FULL_FACTORIAL,0,0,0.0,0,0.0,98304,2.0,12,2.0,0,0.0
REFERENCE-C007,REFERENCE,C007,A_FULL_FACTORIAL,0,0,0.0,0,0.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C008,REFERENCE,C008,A_FULL_FACTORIAL,0,0,0.0,12,2.0,0,0.0,0,0.0,0,0.0
REFERENCE-C009,REFERENCE,C009,A_FULL_FACTORIAL,0,0,0.0,12,2.0,0,0.0,0,0.0,6,2.0
REFERENCE-C010,REFERENCE,C010,A_FULL_FACTORIAL,0,0,0.0,12,2.0,0,0.0,12,2.0,0,0.0
REFERENCE-C011,REFERENCE,C011,A_FULL_FACTORIAL,0,0,0.0,12,2.0,0,0.0,12,2.0,6,2.0
REFERENCE-C012,REFERENCE,C012,A_FULL_FACTORIAL,0,0,0.0,12,2.0,98304,2.0,0,0.0,0,0.0
REFERENCE-C013,REFERENCE,C013,A_FULL_FACTORIAL,0,0,0.0,12,2.0,98304,2.0,0,0.0,6,2.0
REFERENCE-C014,REFERENCE,C014,A_FULL_FACTORIAL,0,0,0.0,12,2.0,98304,2.0,12,2.0,0,0.0
REFERENCE-C015,REFERENCE,C015,A_FULL_FACTORIAL,0,0,0.0,12,2.0,98304,2.0,12,2.0,6,2.0
REFERENCE-C016,REFERENCE,C016,A_FULL_FACTORIAL,0,24,2.0,0,0.0,0,0.0,0,0.0,0,0.0
REFERENCE-C017,REFERENCE,C017,A_FULL_FACTORIAL,0,24,2.0,0,0.0,0,0.0,0,0.0,6,2.0
REFERENCE-C018,REFERENCE,C018,A_FULL_FACTORIAL,0,24,2.0,0,0.0,0,0.0,12,2.0,0,0.0
REFERENCE-C019,REFERENCE,C019,A_FULL_FACTORIAL,0,24,2.0,0,0.0,0,0.0,12,2.0,6,2.0
