source_rowid,planet_name,host_name,pl_orbper_days,pl_orbsmax_au,st_mass_solar,source_snapshot,source_url
45,BD+20 1790 b,BD+20 1790,7.78287,0.066,0.63,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
46,BD+20 2457 b,BD+20 2457,379.63,1.45,2.8,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
47,BD+20 2457 c,BD+20 2457,621.99,2.01,2.8,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
48,BD+20 274 b,BD+20 274,578.2,1.3,0.8,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
49,BD+20 594 b,BD+20 594,41.6855,0.241,0.96,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
50,BD+48 738 b,BD+48 738,392.6,1,0.74,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
51,BD+48 740 b,BD+48 740,733,1.7,1.09,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
52,BD+49 828 b,BD+49 828,2590,4.2,1.52,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
53,BD-06 1339 b,BD-06 1339,3.8728,0.0428,0.7,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
54,BD-06 1339 c,BD-06 1339,125.94,0.435,0.7,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
55,BD-08 2823 b,BD-08 2823,5.6,0.056,0.74,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
56,BD-08 2823 c,BD-08 2823,237.6,0.68,0.74,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
57,BD-10 3166 b,BD-10 3166,3.48777,0.0452,1.01,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
58,BD-11 4672 b,BD-11 4672,1667,2.28,0.57,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
59,BD-13 2130 b,BD-13 2130,714.3,2.1,2.4,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
